,name,username,license,tags,freesound_id,path
0,g6 note,rondindon,http://creativecommons.org/publicdomain/zero/1.0/,"['note', 'octave', 'piano', 'single', 'singlenote']",740920,files/740920_16083839-hq.ogg
1,Casio 1000P Preset - Piano C.wav,acollier123,https://creativecommons.org/licenses/by/4.0/,"['Additive', 'CT1000', 'Casio', 'casiotone', 'piano', 'sample', 'single', 'synthesizer']",315694,files/315694_2076119-hq.ogg
2,"Piano, C# -2, Muffled, Single Note",VizAion,http://creativecommons.org/publicdomain/zero/1.0/,"['Ab-note', 'Audio-Sample', 'Deep-sound', 'Keys', 'Musical', 'Piano', 'Resonance', 'Sample', 'Single-note', 'bassy', 'muffled', 'sampler', 'strings']",795601,files/795601_17061405-hq.ogg
3,Upright Piano Remeau 23 C8,Sadiquecat,http://creativecommons.org/publicdomain/zero/1.0/,"['8', 'Average-piano', 'C', 'C8', 'FR-AV2', 'Living-room', 'NT5', 'Oneshot', 'Piano', 'Remeau', 'Rode', 'Rode-NT5', 'Tascam', 'Upright-piano', 'XY', 'acoustic', 'individual-note', 'one-shot', 'sample', 'single-note', 'upright']",794382,files/794382_5287430-hq.ogg
4,D7.ogg,TEDAgame,http://creativecommons.org/publicdomain/zero/1.0/,"['complete', 'keys', 'notes', 'old', 'piano', 'reverb', 'sustain']",448617,files/448617_9311684-hq.ogg
5,Slide Whistle in a Tin Can.wav,gurdonark,http://creativecommons.org/licenses/by/3.0/,"['mill', 'note', 'patch', 'piercing', 'sample', 'slide', 'slide-whistle', 'tincan', 'whistle', 'woodwind']",161641,files/161641_59021-hq.ogg
6,Kalimba_note4.wav,radian,http://creativecommons.org/licenses/by/3.0/,"['kalimba', 'metallic', 'thumb-piano']",25049,files/25049_76945-hq.ogg
7,Yamaha CS-30L - Toy Piano - C5 (Small Plick-72-127.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['C5', 'Yamaha-CS-30L', 'midi-note-72', 'multisample', 'single-note', 'synthesizer']",314965,files/314965_2050105-hq.ogg
8,Dog single howl,Jace,http://creativecommons.org/publicdomain/zero/1.0/,"['barking', 'beagle', 'dog', 'howl', 'nose', 'pooch', 'puppy', 'whine', 'yip']",155322,files/155322_60285-hq.ogg
9,"Vivace, con screamo - No Solo.wav",isaiah.chentnik,http://creativecommons.org/licenses/by/3.0/,"['bartok', 'chentnik', 'con', 'county', 'fair', 'isaiah', 'screamo', 'song', 'vivace']",52765,files/52765_634268-hq.ogg
