,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,,None_f0,213524__garzul__120-bpm-distorded-drum-loop.wav,0,4096,0.014968893490731716,-610.6094,171.3863,19.981266,52.501537,12.66547,14.360901,10.304024,9.4952965,-2.3874378,10.962349,3.5638485,-4.270397,4.4101887
1,,None_f1,213524__garzul__120-bpm-distorded-drum-loop.wav,4096,8192,0.006359823513776064,-760.77997,191.83377,15.24585,28.118507,4.100727,16.301195,17.526974,20.067726,10.209145,11.320105,2.6732254,-0.6056862,10.3280525
2,,None_f2,213524__garzul__120-bpm-distorded-drum-loop.wav,8192,12288,0.002600055420771241,-702.1963,35.689728,-17.177423,31.5433,-10.823902,7.2780247,-8.849287,9.55755,16.805626,4.518955,7.5884666,5.8861103,3.0154324
3,,None_f3,213524__garzul__120-bpm-distorded-drum-loop.wav,12288,16384,0.003071555634960532,-632.4228,-14.64225,-57.702293,37.18322,-10.0084915,14.8821125,-6.809162,-4.0611496,-5.6295204,-10.711342,1.3974876,1.5844822,-1.6677799
4,,None_f4,213524__garzul__120-bpm-distorded-drum-loop.wav,16384,20480,0.00036705960519611835,-788.4717,83.742516,-60.763355,2.984604,2.0707436,5.210243,-24.195072,-3.6157036,7.743675,3.3165283,-9.738598,-14.365681,10.865707
5,,None_f5,213524__garzul__120-bpm-distorded-drum-loop.wav,20480,24576,0.007898896932601929,-526.3112,68.77539,-6.3510933,26.446299,23.600931,30.05052,-2.2484798,-5.63118,-0.03269577,2.5761337,-15.61256,-11.596706,-7.106907
6,,None_f6,213524__garzul__120-bpm-distorded-drum-loop.wav,24576,28672,0.011589414440095425,-627.23236,146.83884,4.368908,51.685936,33.18857,35.01365,3.871584,-2.0936317,14.443428,6.4389915,1.7839813,-1.4782333,6.9583836
7,,None_f7,213524__garzul__120-bpm-distorded-drum-loop.wav,28672,32768,0.007117698900401592,-544.68024,36.413265,-59.65693,-5.3477535,13.802593,30.27966,-11.286133,-14.988064,9.745228,1.7612324,3.2909641,-4.9913406,0.44890594
8,,None_f8,213524__garzul__120-bpm-distorded-drum-loop.wav,32768,36864,0.001432547578588128,-781.0993,76.23042,-76.73142,8.27467,24.066334,40.67231,-2.7592926,-15.226921,0.4542427,10.414997,-9.204353,-17.578934,3.3529778
9,,None_f9,213524__garzul__120-bpm-distorded-drum-loop.wav,36864,40960,0.0010053809965029359,-733.4386,155.2889,-24.043411,3.3807487,-25.522278,-13.45274,-6.6701145,13.05307,10.065472,2.707016,-3.8710632,7.131443,1.9009361
10,,None_f10,213524__garzul__120-bpm-distorded-drum-loop.wav,40960,45056,0.003938091453164816,-755.2485,167.4986,-19.123238,15.630051,-10.228195,-1.8078156,-10.52783,6.970825,14.099102,3.9706078,-1.831913,5.995262,5.0897636
11,,None_f11,213524__garzul__120-bpm-distorded-drum-loop.wav,45056,49152,0.014918740838766098,-645.2124,182.78127,20.512325,45.64277,14.415676,23.99764,-0.5347214,7.8678017,10.229923,7.4295635,2.7961807,5.970709,3.3173885
12,,None_f12,213524__garzul__120-bpm-distorded-drum-loop.wav,49152,53248,0.002587060909718275,-786.8779,100.76062,-29.129868,24.298592,10.973675,-0.8748131,-8.1131115,2.4467697,7.931141,15.375055,-25.284874,3.7982445,11.684982
13,,None_f13,213524__garzul__120-bpm-distorded-drum-loop.wav,53248,57344,0.004085578490048647,-569.3937,3.7341633,-28.507408,41.568295,6.9524193,21.442265,3.6018677,12.62372,10.348013,-1.1650429,9.509899,1.6036835,-3.8475342
14,,None_f14,213524__garzul__120-bpm-distorded-drum-loop.wav,57344,61440,0.0022036980371922255,-688.9404,-11.557583,-49.34736,54.59198,-3.4106483,18.81638,1.2428341,2.4953976,0.6512413,-0.64749336,12.307608,2.3869495,-3.3464031
15,,None_f15,213524__garzul__120-bpm-distorded-drum-loop.wav,61440,65536,0.0003076572611462325,-920.7709,42.682777,-37.74416,48.571182,35.868946,36.60199,26.437252,29.037598,-8.146355,49.027634,15.58157,-22.77375,24.006653
16,,None_f16,213524__garzul__120-bpm-distorded-drum-loop.wav,65536,69632,0.012567267753183842,-553.9779,139.10439,9.32933,31.930462,13.008886,26.145277,11.204817,12.726492,6.070118,-7.2707367,-1.0098381,-0.24283409,-3.2309093
17,,None_f17,213524__garzul__120-bpm-distorded-drum-loop.wav,69632,73728,0.009907274506986141,-543.445,114.44298,-10.837,21.341284,-0.81856346,14.72555,16.74214,33.94713,14.285004,-4.1141872,-4.4429665,5.2494774,11.102997
18,,None_f18,213524__garzul__120-bpm-distorded-drum-loop.wav,73728,77824,0.005490624345839024,-554.85443,99.93461,-35.631744,6.922058,-17.419859,0.9455738,0.2533207,23.35206,12.06065,-8.765772,-17.012362,0.040475845,7.00284
19,,None_f19,213524__garzul__120-bpm-distorded-drum-loop.wav,77824,81920,0.004912758246064186,-581.1252,111.87328,-40.036034,3.9009,-13.78377,5.780781,5.7939854,26.636496,10.560335,-13.098452,-19.451622,-5.483761,3.5290718
20,,None_f20,213524__garzul__120-bpm-distorded-drum-loop.wav,81920,86016,0.004317498300224543,-595.3667,125.50724,-43.406384,1.4531116,-16.019455,7.0129185,1.8749866,20.006882,6.9356346,-13.393768,-20.06821,-6.9039783,-4.736721
21,,None_f21,213524__garzul__120-bpm-distorded-drum-loop.wav,86016,90112,0.010116498917341232,-571.6722,145.11847,-21.331923,12.9599285,-1.8030968,13.157291,-2.8709793,10.363678,5.1788692,-11.318302,-16.004452,-9.341372,-1.4399109
22,,None_f22,213524__garzul__120-bpm-distorded-drum-loop.wav,90112,94208,0.014365327544510365,-644.16064,180.07741,22.364517,47.995804,15.599468,18.750021,8.856838,10.8130245,4.8653755,5.9472675,4.255829,2.719799,3.7703857
23,,None_f23,213524__garzul__120-bpm-distorded-drum-loop.wav,94208,98304,0.002915531862527132,-652.1699,153.83267,-45.81007,10.183117,-14.540279,9.646341,4.936695,24.039036,5.821377,-15.657234,-22.512806,-10.206696,-1.2529659
24,,None_f24,213524__garzul__120-bpm-distorded-drum-loop.wav,98304,102400,0.005235954653471708,-520.50934,8.063499,-30.092413,36.301888,-0.4609661,13.795755,1.8911781,11.816407,2.305664,-9.109325,2.711956,-4.850357,-3.5992756
25,,None_f25,213524__garzul__120-bpm-distorded-drum-loop.wav,102400,106496,0.0026025341358035803,-668.3361,133.21225,-41.40748,8.542192,-26.314602,5.724001,5.579254,25.357489,12.834965,-14.900738,-23.53476,-6.1716003,3.1120167
26,,None_f26,213524__garzul__120-bpm-distorded-drum-loop.wav,106496,110592,0.00208835955709219,-695.68835,185.1208,-41.25273,7.7961655,-15.051754,2.304184,-3.9232483,20.492964,11.4412155,-1.8340073,-8.754723,-1.1187248,4.2374344
27,,None_f27,213524__garzul__120-bpm-distorded-drum-loop.wav,110592,114688,0.013937888666987419,-543.285,95.160355,-3.4603958,48.38424,38.377857,34.51464,7.1472664,7.60738,16.77807,7.6909447,-1.5364285,-3.4639359,4.7548084
28,,None_f28,213524__garzul__120-bpm-distorded-drum-loop.wav,114688,118784,0.008953534997999668,-522.9443,42.912853,-41.95816,10.027321,23.336859,36.722637,1.1001396,0.3061924,13.693682,7.1097584,2.702551,-6.6984444,3.1638145
29,,None_f29,213524__garzul__120-bpm-distorded-drum-loop.wav,118784,122880,0.005157823674380779,-598.51526,44.94738,-61.368244,-2.3414211,18.582579,37.47779,-12.144932,-15.307226,10.930988,-2.0313854,0.4685402,-15.974134,-12.621822
30,,None_f30,213524__garzul__120-bpm-distorded-drum-loop.wav,122880,126976,0.0005361216026358306,-808.219,163.28256,-41.999424,4.0406723,1.6364632,0.011154175,20.440529,22.52899,6.3546906,8.833267,-45.453102,-6.8956757,11.103111
