,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,,None_f0,acid_bass_trimmed.wav,0,4096,0.010619350709021091,-833.93225,210.1803,58.22466,54.015327,25.662205,22.992775,10.2332115,11.040428,8.585049,11.493971,7.6699333,5.8499413,4.1562805
1,,None_f1,acid_bass_trimmed.wav,4096,8192,0.004824576899409294,-831.2543,236.17365,4.6114044,64.65491,10.715244,22.10733,1.3524857,7.7308426,6.4064293,10.88887,6.921608,2.727604,2.6408348
2,,None_f2,acid_bass_trimmed.wav,8192,12288,0.03321034088730812,-837.7258,289.31686,29.241879,41.94064,27.807858,16.084572,19.29826,11.857227,12.122654,10.125738,6.8751984,6.8800964,4.242237
3,,None_f3,acid_bass_trimmed.wav,12288,16384,0.025375911965966225,-836.7488,257.00745,44.816837,58.485874,18.73819,25.308857,13.83305,18.596521,8.985039,5.5935326,4.5326424,9.497665,5.571926
4,,None_f4,acid_bass_trimmed.wav,16384,20480,0.03052102029323578,-845.67426,286.84088,26.702618,47.50833,16.019024,19.105682,13.210022,11.423878,10.921093,7.714596,9.868446,7.162266,7.7127724
5,,None_f5,acid_bass_trimmed.wav,20480,24576,0.030061086639761925,-588.3023,156.8893,19.409014,34.01848,12.504471,19.281975,11.876102,13.759207,7.576889,8.127201,5.6003,6.3470783,3.6834946
6,,None_f6,acid_bass_trimmed.wav,24576,28672,0.018950385972857475,-676.2671,211.80695,-9.844799,50.353725,3.4504852,24.76664,6.6114197,15.704773,4.3582115,9.369585,3.3520012,6.863888,2.0959435
7,,None_f7,acid_bass_trimmed.wav,28672,32768,0.013453765772283077,-755.9623,224.3075,-3.7033348,38.266888,15.246273,15.997231,12.569885,11.529718,7.2135468,7.428137,4.9125786,5.664707,3.2208405
8,,None_f8,acid_bass_trimmed.wav,32768,36864,0.02977571077644825,-783.0346,233.98846,25.502602,59.27268,18.021397,26.089912,11.902676,15.782597,9.061295,10.4784775,6.762436,8.368431,7.2853355
9,,None_f9,acid_bass_trimmed.wav,36864,40960,0.017611267045140266,-875.22845,282.43002,25.811977,57.238617,33.187675,14.40786,21.321945,6.6681595,12.19537,5.944298,5.2201614,6.272335,4.024067
