,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,,None_f0,518488__cyclez__dark-techno-kick-drum-loop.wav,0,4096,0.009000180289149284,-964.0826,224.34985,81.46234,88.790924,38.639366,44.379784,20.421623,12.666019,20.190472,8.107479,6.8105316,8.782406,7.6836243
1,,None_f1,518488__cyclez__dark-techno-kick-drum-loop.wav,4096,8192,0.00918466318398714,-874.3544,192.08264,8.266243,112.41281,20.872383,45.61308,27.4869,7.557518,23.087372,-2.8697662,-0.62659836,4.7710648,11.404751
2,,None_f2,518488__cyclez__dark-techno-kick-drum-loop.wav,8192,12288,0.0066063799895346165,-867.3755,172.79614,-1.6739082,109.99815,22.048775,48.65354,25.08654,5.674408,21.52024,6.0985947,3.7065659,8.349983,10.920841
3,,None_f3,518488__cyclez__dark-techno-kick-drum-loop.wav,12288,16384,0.003005536738783121,-1026.5496,151.79013,78.506226,104.17955,54.97961,48.409393,26.174915,14.630606,8.545414,3.971428,-2.6404228,8.191681,2.486267
4,,None_f4,518488__cyclez__dark-techno-kick-drum-loop.wav,16384,20480,0.0018436871469020844,-1040.8817,215.87708,102.04559,74.36125,28.359291,9.389572,11.649857,1.9631882,13.176907,8.286228,-4.697197,5.4221344,9.533642
5,,None_f5,518488__cyclez__dark-techno-kick-drum-loop.wav,20480,24576,0.008680237457156181,-817.045,180.12067,33.504925,111.25687,15.744228,48.725864,18.649563,8.935822,16.910927,6.8443604,-5.567829,4.9007797,6.103077
6,,None_f6,518488__cyclez__dark-techno-kick-drum-loop.wav,24576,28672,0.01121491752564907,-871.0606,190.15448,3.141655,112.10071,22.590202,49.2658,31.356155,5.662979,24.537628,-0.23865509,-0.9474869,3.5392456,12.70105
7,,None_f7,518488__cyclez__dark-techno-kick-drum-loop.wav,28672,32768,0.007483561523258686,-969.18195,151.51016,23.242245,112.466995,38.314034,56.03038,40.882515,13.563412,29.316025,7.693989,7.920212,11.601948,12.711708
8,,None_f8,518488__cyclez__dark-techno-kick-drum-loop.wav,32768,36864,0.0037722415290772915,-1027.0785,166.77826,98.09445,103.43428,47.968513,38.252655,19.811558,11.592703,11.356998,8.301327,0.38840103,8.456854,16.490845
9,,None_f9,518488__cyclez__dark-techno-kick-drum-loop.wav,36864,40960,0.0019494976149871945,-927.828,209.86536,32.170162,86.37346,8.811092,21.531654,20.370132,-5.5972214,20.215725,-2.3172073,0.72982025,7.1488686,3.0588875
10,,None_f10,518488__cyclez__dark-techno-kick-drum-loop.wav,40960,45056,0.008043378591537476,-733.40204,149.24377,10.156158,101.058525,12.081806,45.594803,20.394043,3.2711182,14.675869,-0.68492126,-11.601177,-1.4184647,2.6343384
11,,None_f11,518488__cyclez__dark-techno-kick-drum-loop.wav,45056,49152,0.010274114087224007,-936.925,177.79074,23.03677,115.689514,37.066566,52.442326,41.04397,6.894226,29.685257,2.335785,5.0197487,11.868374,11.301262
12,,None_f12,518488__cyclez__dark-techno-kick-drum-loop.wav,49152,53248,0.007918937131762505,-1073.8148,163.16382,82.155106,95.481415,56.76124,42.885284,33.59266,17.903423,24.50772,16.13638,8.989487,14.19939,18.978935
13,,None_f13,518488__cyclez__dark-techno-kick-drum-loop.wav,53248,57344,0.00393308699131012,-956.33777,188.94052,65.19829,93.72957,27.5682,35.169807,19.36353,7.633156,12.324249,5.6363525,2.73246,15.637699,11.83342
14,,None_f14,518488__cyclez__dark-techno-kick-drum-loop.wav,57344,61440,0.0020300501491874456,-845.3189,199.19904,0.035606384,103.02818,1.5946007,27.504883,8.374397,-0.8190079,18.442455,0.21727371,1.3197594,1.0217361,6.978409
15,,None_f15,518488__cyclez__dark-techno-kick-drum-loop.wav,61440,65536,0.006655485834926367,-731.21893,138.45422,1.2289658,97.12909,4.9891624,43.80123,20.041847,7.1190357,12.796322,-3.76025,-12.653351,-2.3104134,-5.051279
16,,None_f16,518488__cyclez__dark-techno-kick-drum-loop.wav,65536,69632,0.010114830918610096,-999.0288,173.92725,49.622433,114.204605,57.07586,50.601837,39.943336,10.519459,35.38504,9.909031,-6.476692,13.000431,14.492863
17,,None_f17,518488__cyclez__dark-techno-kick-drum-loop.wav,69632,73728,0.008774949237704277,-1034.129,179.47086,70.30263,91.460846,45.79708,42.780495,37.995476,13.754162,20.014294,8.115673,7.2763977,16.38631,16.293827
18,,None_f18,518488__cyclez__dark-techno-kick-drum-loop.wav,73728,77824,0.005477047059684992,-891.01984,200.18951,32.827274,100.63051,17.733406,30.191105,17.779053,7.4229355,17.460938,3.6877365,0.53419495,11.046165,10.316212
19,,None_f19,518488__cyclez__dark-techno-kick-drum-loop.wav,77824,81920,0.00170194695238024,-827.76355,179.05649,-6.1593285,106.291336,0.29483032,35.471924,6.9245605,3.4323654,11.074509,0.32630157,-0.66371155,0.95999527,3.0083542
20,,None_f20,518488__cyclez__dark-techno-kick-drum-loop.wav,81920,86016,0.004269727505743504,-778.70953,133.26703,-0.65291214,93.29964,4.0232353,47.433365,21.513653,8.823368,14.115585,-4.3796196,-11.623692,-1.1175995,-0.88946915
21,,None_f21,518488__cyclez__dark-techno-kick-drum-loop.wav,86016,90112,0.011360815726220608,-1064.9467,198.33167,116.05304,97.95239,54.303215,41.71203,31.197342,15.232586,21.59195,8.401981,5.559105,10.871014,4.0916557
22,,None_f22,518488__cyclez__dark-techno-kick-drum-loop.wav,90112,94208,0.008966435678303242,-955.9718,197.37766,42.13792,101.32741,34.90365,41.156914,37.4766,8.820175,26.025421,1.51157,1.6848335,12.169754,11.51112
23,,None_f23,518488__cyclez__dark-techno-kick-drum-loop.wav,94208,98304,0.006340614520013332,-857.49365,186.55356,15.767582,107.67099,15.513325,38.919197,16.44384,8.3054695,15.055084,4.2547455,2.0792618,7.6285515,7.34243
24,,None_f24,518488__cyclez__dark-techno-kick-drum-loop.wav,98304,102400,0.0019567960407584906,-830.10315,177.66888,-21.299583,93.98544,6.488552,37.52,19.848362,4.0884323,17.5514,-1.6343079,-2.3940506,-0.8576546,-0.00875473
25,,None_f25,518488__cyclez__dark-techno-kick-drum-loop.wav,102400,106496,0.002494044369086623,-890.17975,148.78928,18.427094,102.81051,18.516148,43.75759,34.42011,8.441677,17.90319,-11.50428,-12.98596,5.987152,1.9780312
